id,address_v4,prefix_v4,asn_v4,latitude,longitude,country_code
22545,151.62.78.120,151.62.0.0/16,1267,45.4195,11.0895,IT
24559,62.169.33.65,62.169.32.0/21,28831,45.5815,10.4395,IT
24562,195.110.107.67,195.110.107.0/24,39729,45.4585,9.0505,IT
24564,185.103.112.2,185.103.112.0/22,28941,41.3195,16.2805,IT
24897,109.168.46.194,109.168.0.0/18,5602,45.5205,10.2215,IT
18864,91.184.204.125,91.184.192.0/19,35432,35.1495,33.3505,CY
18567,89.111.41.70,89.111.0.0/18,12993,56.8905,24.2305,LV
12219,185.32.189.9,185.32.188.0/22,62416,38.7815,-9.1225,PT
12460,185.31.158.6,185.31.158.0/24,9186,38.7475,-9.0995,PT
13730,195.22.24.35,195.22.0.0/19,8426,38.7475,-9.1015,PT
18386,185.11.164.2,185.11.164.0/22,8426,38.7505,-9.0985,PT
21391,185.32.189.13,185.32.188.0/22,62416,38.7475,-9.0985,PT
24038,94.132.197.210,94.132.192.0/18,2860,38.7115,-9.1415,PT
15508,188.241.144.234,188.241.144.0/21,42800,44.4915,26.0875,RO
19514,89.45.88.195,89.45.88.0/24,61958,45.1795,26.0375,RO
23812,81.180.99.53,81.180.96.0/22,25409,44.4285,26.0575,RO
18945,141.255.254.207,141.255.192.0/18,2107,46.0495,14.4595,SI
19343,193.169.48.40,193.169.48.0/23,49402,46.0585,14.5695,SI
19840,185.53.12.16,185.53.12.0/24,41828,46.0575,14.5095,SI
23188,213.161.11.66,213.161.0.0/19,3212,46.5615,15.6515,SI
16004,81.89.63.129,81.89.63.0/24,29405,48.1595,17.1575,SK
18853,80.87.217.250,80.87.208.0/20,35328,48.7685,18.6195,SK
18856,193.93.72.31,193.93.72.0/22,43451,48.1505,17.1095,SK
18858,80.87.217.254,80.87.208.0/20,35328,49.2215,18.7395,SK
18875,80.87.217.246,80.87.208.0/20,35328,49.0695,18.9205,SK
18878,80.87.217.242,80.87.208.0/20,35328,48.6715,19.5005,SK
10638,193.166.86.102,193.166.0.0/15,1741,60.1715,24.9385,FI
12291,193.19.136.253,193.19.136.0/22,49866,60.2075,24.6615,FI
18375,185.55.84.71,185.55.84.0/22,201964,60.4495,22.2605,FI
22033,185.4.228.6,185.4.228.0/22,199231,60.1985,24.9485,FI
23762,83.143.216.104,83.143.216.0/21,35382,61.4885,23.7505,FI
10772,212.112.161.106,212.112.160.0/19,12552,59.3285,18.0705,SE
10802,46.226.154.100,46.226.154.0/24,197541,59.2585,18.0975,SE
19287,88.80.0.100,88.80.0.0/19,33837,59.3305,18.0715,SE
19385,80.78.16.51,80.78.16.0/21,42732,55.5495,13.0815,SE
20644,217.198.77.147,217.198.72.0/21,48220,59.3295,17.9795,SE
20767,213.204.179.66,213.204.128.0/18,2119,59.6205,16.5605,SE
20874,193.178.60.19,193.178.60.0/22,31337,59.4095,17.9405,SE
24854,82.99.54.98,82.99.0.0/18,12552,59.4195,17.9195,SE
24891,62.108.192.118,62.108.192.0/19,20625,61.3575,16.3615,SE
